journey_id,signature,dimension,lifespan,birth_tau,death_tau,has_reentry,component_id,glued_with_count,witnesses
journey_0,success_love_poem,0,17,0,17,True,0,320,property;goal;something;records;born;yourself;capital;date;another;private;nothing;challenges;anything;feel;success
journey_1,hard_love_never,0,1,0,0,False,0,124,chorus;little;success;down;hard;night;poem;bring;always;music;place;never;voice;work;love
journey_2,work_love_poem,0,28,0,27,False,0,357,property;goal;born;records;product;culture;date;capital;cover;private;anything;feel;success;provide;space
journey_3,sound_voice_love,0,28,0,28,True,0,366,critical;property;goal;born;records;something;product;yourself;capital;date;another;cover;private;challenges;anything
journey_4,power_love_poem,0,37,0,36,False,0,403,critical;plan;property;goal;born;records;something;product;main;date;capital;cover;paragraph;basin;prove
journey_5,hard_love_never,0,1,0,0,False,0,124,chorus;little;success;down;hard;night;poem;bring;always;music;place;never;voice;work;love
journey_6,work_love_poem,0,1,0,0,False,0,124,chorus;little;success;journey;hard;night;poem;bring;music;place;house;never;voice;work;love
journey_7,success_love_poem,0,15,0,15,True,0,369,critical;property;goal;born;date;capital;another;separate;private;success;provide;space;ensure;time;dark
journey_8,woman_love_poem,0,1,0,0,False,0,124,woman;little;success;chorus;night;poem;bring;song;music;place;house;never;voice;work;love
journey_9,great_love_never,0,1,0,0,False,0,122,poernomo;chorus;little;success;hard;poem;bring;music;place;great;never;voice;sweet;work;love
journey_10,success_love_poem,0,1,0,0,False,0,122,chorus;little;success;journey;night;poem;bring;music;place;verse;never;help;voice;work;love
journey_11,spirit_love_poem,0,1,0,0,False,0,123,chorus;little;success;journey;spirit;poem;bring;night;soul;music;place;never;voice;work;love
journey_12,tell_love_bring,0,1,0,0,False,0,123,poernomo;chorus;little;success;hard;poem;bring;music;place;tell;never;help;voice;work;love
journey_13,iman_poernomo_love,0,1,0,0,False,0,123,poernomo;iman;little;success;chorus;night;poem;bring;music;place;heart;never;voice;work;love
journey_14,poernomo_iman_love,0,1,0,0,False,0,122,poernomo;iman;little;success;chorus;night;poem;bring;music;place;verse;never;voice;work;love
journey_15,iman_poernomo_love,0,1,0,0,False,0,123,poernomo;iman;little;success;chorus;night;poem;bring;music;place;heart;never;voice;work;love
journey_16,poernomo_iman_love,0,1,0,0,False,0,122,poernomo;iman;little;success;chorus;night;poem;bring;music;place;verse;never;voice;work;love
journey_17,known_love_never,0,1,0,0,False,0,122,poernomo;chorus;little;success;known;hard;night;poem;bring;music;place;never;voice;work;love
journey_18,known_love_never,0,1,0,0,False,0,122,poernomo;chorus;little;success;known;hard;night;poem;bring;music;place;never;voice;work;love
journey_19,creative_love_poem,0,1,0,0,False,0,121,chorus;little;success;journey;poem;bring;creative;music;place;creativity;never;voice;sweet;work;love
journey_20,approach_love_success,0,36,0,36,True,0,398,critical;plan;property;goal;records;product;culture;date;capital;cover;paragraph;basin;coherence;scheduler;private
journey_21,making_love_bring,0,19,0,19,True,0,328,critical;property;goal;born;records;date;capital;private;challenges;anything;feel;success;provide;space;play
journey_22,large_love_little,0,26,0,26,True,0,354,critical;property;goal;records;product;complex;square;yourself;capital;date;another;cover;private;anything;feel
journey_23,following_love_never,0,1,0,0,False,0,123,poernomo;chorus;little;success;night;poem;bring;following;always;music;place;never;voice;work;love
journey_24,social_love_poem,0,1,0,0,False,0,123,social;chorus;little;success;poernomo;night;poem;bring;song;music;place;never;voice;work;love
journey_25,beautiful_love_poem,0,1,0,0,False,0,121,chorus;little;success;night;poem;bring;music;voice;place;great;beautiful;never;sweet;work;love
journey_26,poernomo_iman_love,0,1,0,0,False,0,122,poernomo;iman;little;success;chorus;night;poem;bring;music;place;verse;never;voice;work;love
journey_27,journey_love_poem,0,1,0,0,False,0,123,chorus;little;success;journey;night;poem;bring;spirit;music;place;heart;never;voice;work;love
journey_28,success_love_poem,0,36,0,36,True,0,407,critical;plan;property;goal;born;records;something;product;clarity;date;capital;cover;paragraph;basin;keep
journey_29,began_love_never,0,1,0,0,False,0,122,poernomo;chorus;little;success;hard;night;poem;bring;music;place;began;never;voice;work;love
journey_30,making_love_bring,0,15,0,15,True,0,369,critical;property;goal;born;records;yourself;capital;date;private;challenges;success;provide;space;ensuring;ensure
journey_31,later_love_never,0,36,0,36,True,0,403,critical;white;property;goal;born;records;something;product;date;capital;cover;another;paragraph;basin;recursive
journey_32,study_poem_love,0,1,0,0,False,0,123,chorus;little;success;study;night;poem;bring;song;music;place;verse;never;voice;work;love
