component_id,size,core_witnesses,sample_journeys
0,514,data;time;management;information;business;rupture;type;compliance;quality;governance,under_data_information;goes_data_need;fixes_scene_story;used_year_under;black_love_poem
1,1,broken;policies;request;field;energy;ontology;usage;identify;examples;shape,broken_policies_request
2,1,analysis;public;insights;value;important;external;answers;useful;usage;deep,public_insights_value
3,1,data;project;test;model;tool;scene;match;array;string;build,data_project_test
4,1,effective;receive;provide;established;data;management;relevant;developed;used;allowed,relevant_developed_used
5,1,meet;speak;explain;take;feel;allow;believe;bring;replace;moving,meet_speak_explain
6,1,enters;chorus;data;city;stage;scene;side;used;tools;music,enters_chorus_data
7,1,chorus;data;city;stage;scene;side;used;music;tools;modern,emerges_chorus_data
8,1,gives;serve;post;part;mark;control;makes;look;check;tool,gives_serve_post
9,1,give;quick;support;order;quality;help;talk;take;request;thinking,give_quick_support
10,1,feeling;focusing;keeping;becoming;understanding;integrating;maintaining;having;moving;making,feeling_focusing_keeping
11,1,necessary;needed;need;given;data;personal;bank;processing;ensure;step,necessary_needed_need
12,1,business;platform;strategy;model;data;project;training;report;team;store,business_platform_strategy
13,1,must;need;consider;require;data;management;risk;trade;ensure;compliance,must_need_consider
14,1,tone;traces;sketch;server;line;mirror;string;chapter;programs;space,tone_traces_sketch
15,1,semantic;rupture;explicitly;field;recognition;programs;dynamics;authors;values;signs,recognition_programs_dynamics
16,1,shifts;suggested;holds;introduces;risk;line;introduced;moves;created;lands,shifts_suggested_holds
